,title,review,date,month,year,rating
1352,"""last choice in future""","very disappointing experience - flew out on a 747 400 series (should be scrapped!) departed late. loaded aircraft ready for push back, no a/c temperature was excessively hot all flight, no cool air. personal media system broken, split screen. food quality diabolical. moody flight attendants, ran out of hand soap. return flight on a380 left on time, 100% better service, meal quality, and crew, definitely made up for outward flight. been flying ba for over 25 years, probably would be a last choice in future - sad to see.",2018-06-21,June,2018,4.0
1353,"""unexpected problem with the systems""","calgary to london. cabin full. overhead locker full of blankets. seat excruciatingly uncomfortable and headphone that worked intermittently. take off about 1945 local time. evening meal appeared at about 2030 local time. menu listed seasonal salad (leaf, one small piece of lettuce and cucumber), braised short rib of beef or mushroom ravioli pasta, with butter pecan cake. only 3 beef meals available. choice was either pasta or to go hungry. i chose the latter and dined on a small bottle of water and half a cup of tomato juice. breakfast (a light refreshment including juice, tea and coffee) consisted of a cream cheese roll, and oat biscuit, and half a cup of warm tea some 30 minutes later. we paid extra for world traveller plus but i consider that we were conned. customer services have been useless and on the second time of writing i received the following response, ""thanks for coming back to us. i completely understand why you’re disappointed we couldn’t offer you our full catering service, especially as on such a long haul flight. i hope our staff explained our catering supplier had an unexpected problem with the systems they use to deliver their catering. this meant they couldn’t provide a full meal service and i absolutely agree this isn’t what you would expect when you travel with us. i’m sorry we’ve let you down."" that is it. thank you ba. this is the last time we will ever book long haul with you.",2018-06-20,June,2018,2.0
1354,"""The airline isn’t bad""","london to zurich. the airline isn’t bad. their boarding procedure was very good, though the aircraft was very old. i know it is one of the oldest, and personally i enjoyed it. but if i have to be realistic, it’s very old, loud and uncomfortable. the service isn’t good either, you don’t even get a cup of water. it’s great to hop to london, but don’t expect any kind of special treatment or service.",2018-06-20,June,2018,4.0
1355,"""charge a large amount for choosing seats""","glasgow to new york jfk via london. outgoing flight was on a refurbished 747. still i could see its age. we had a duo seat at the back of the plane. the plane was hot and there are no air con vents above your head. the ife was decent and had a good selection. the cabin crew member looking after us was pleasant and friendly and he chatted to us. flight left close to on time. service was quick as we were first served at the back. we were given pretzels and drinks first then dinner was about an hour later, which was vegetarian pasta for me. adequate amount of food served and was tasty. ice cream and juice/water was served halfway through the flight. we then received a snack before landing which was a sandwich and a toblerone. it was ok. return flight from vegas was on a old 747. horrible old seats with no padding and very dirty. service was a lot slower as they announced they had less staff. less drinks served, again food was ok chicken curry this time. small snack of a egg tortilla yoghurt and muffin served for breakfast. ife was horrendous on the old 747 tiny grainy screen with a very limited choice. i wouldnt fly ba again if i had a choice because they charge such a large amount for choosing the duo seats. £210 return it cost us and it made the air fare expensive. also the planes they use are too old and tatty.",2018-06-20,June,2018,7.0
1356,"""aircraft lacked the legroom""","flew on a last minute emergency trip london heathrow to baltimore with ba. most disappointing feature on this roundtrip was the aircraft the new boeing 787. i found the aircraft too small and cramped for transatlantic routes, in its 3-3-3 seating configuration, despite the crews in flight service and the inflight entertainment being of a generally average economy standard, the aircraft lacked the legroom and seating comfort of the other aircraft i have flown on other transatlantic routes, 777, 767, a340 and 747. ba needs to remove many seats from this aircraft in economy class, also the cabin air temperature was awful and humid, with no individual regulation. this felt to me more like being crammed in to a boeing 737 on a transatlantic flight.",2018-06-20,June,2018,5.0
1357,"""an additional €476 for seat selection""","earlier this year, my wife and i travelled business class with ba from dublin to jo'burg, returning from cape town, thru london in each direction. having paid business class fares, we were then quite taken aback to have to pay an additional €476 for seat selection on the long haul sectors. had we not selected seats, we could have found ourselves not just separated, but possibly with one of us on the upper deck and one on the lower deck of the a380 on the way out and the 747 on the return flight. we therefore had no choice. what sort of customer retention policy is this? no other airline with whom we have travelled business class has then charged for seat selection, but ba just don't seem to care. it is a rip-off. the forward/rear facing business class seat plan on ba planes is really unattractive, complicated further by having to climb over a sleeping passenger to reach the aisle from a window seat. ba should take a look at the emirates a380 if they want to see a customer friendly layout. this was our first business class experience with ba. having flown with middle eastern airlines particularly, we have discovered how much behind the play ba actually are.",2018-06-19,June,2018,1.0
1358,"""no one to solve problems""","los angeles to london. i booked with aa, lax to lhr round trip very far in advance. ba is aa partner. paid for the ba seat selection early to get good seats. ba canceled the flights (coming and going), ba did not inform aa or me that the flights were canceled. all of my text and phone number was entered with ba with my passport number. they should have contacted me. i found out a couple days before my flight because i happened to call to do a meal request. it turns out that ba shifted to smaller planes and i actually spent six hours, over two days trying to get flights on the days i needed to catch up with a tour. all they said is we can't help you. i kept calling and calling and got seats on the days i needed but they were the worst seats on the plane and because they were smaller planed, premium economy was awful. food was terrible. we had pre paid $276 to choose seats. there were no good seats left. we ended up on a night flight right next to the toilets. which meant the smell, people are bumping into you, the lights going off and toilets flushing for 9 hours. same seats coming home. i would have been better off flying in coach. i have spent a month trying to get refund for the paid seat selection. i tried to get this before my return flight started because i was still calling and calling to get seats away from the toilets on our return flight and to get our refunds.they wouldn't refund. after returning, i made five phone calls and spent 30 mins filling out a detailed request online. called again today, was disconnected twice and told there is nothing i could do. it is possible i may get a response in a month regarding my email request. don't ever fly with them! they used to be the finest airline in the skies but now their system is broken and there is no such thing as customer service. if you have a problem, you will be up a famous creek without a paddle. they have an endless loop of calling, waiting on line, their agent's can't or won't do anything but sell seats. i spoke to many many supervisors, no results. there is no one to solve problems. they pass the buck, have you fill out forms online and no one responds.",2018-06-13,June,2018,1.0
1359,"""everything was comfy enough""","the overall flight wasn't too bad. seats and everything was comfy enough, although my girlfriends television didn't work for either the outbound or inbound flight, and little effort was made for a resolution. i understand that it isn't the flight attendants fault,  but it would have been nice if a little more effort than 'there's nothing we can do' was given to the issue! on the flight from gatwick to tampa we were stuck on the aircaft for approximately 30-40 minutes as the bridge 'wasn't where it should be' which once again wasn't the worst problem in the world but after a long flight isn't particularly what you wanted! it wasn't the best experience.",2018-06-13,June,2018,3.0
1360,"""FAs went through the motions""","ba’s galleries lounge at cpt is adequate but let down by a poor food selection (including packaged cheese and biscuits, with flimsy wooden knives) and limited wine choices. champagne was conspicuously lacking. toilet paper wasn’t being refreshed in the toilets and here was no lock on one of the cubicle doors. there were no information screens, so one had to wait for the tannoy call to board. boarding itself was efficient, with priority for groups 1 and 2. seats 62j/k on the upper deck are the best of a mediocre job, and at least there's plenty of storage space in the window bins. take off was on schedule. fas went through the motions, with little enthusiasm. the food was the worst we've ever experienced in club world. the 'smoked chicken salad' was atrocious and the 'scrambled eggs with chives in a tortilla wrap' deserves to be in a museum of culinary horrors. the white company bedding was a let-down and far removed from the luxury portrayed in adverts. there's little one can do to remedy a hard seat. landing was ahead of schedule. overall, a lacklustre flight in an ancient plane with a sub-par business class product. british airways are falling ever behind their competitors.",2018-06-12,June,2018,4.0
1361,"""screen with so few pixels""","gatwick to san jose. i’ve just stepped onto a ba flight from gatwick to costa rica, an 11.5 hr flight, and can honestly i haven’t seen a screen with so few pixels since the 90s. i  fly other long haul flights and none of ba’s competitors are providing such low quality entertainment.  i used to think of british airways as being a premium airline - now they’re just rubbish.",2018-06-10,June,2018,2.0
1362,"""there was little to dislike""","i took the new option of the new toronto to london gatwick which debuted this summer as a seasonal route. cheaper than the heathrow service, it was an interesting experiment in whether i could fall back in love with gatwick. excellent check in at pearson as usual, but spoiled by the third party lounge. goodness knows what ba were thinking, given the old lounge was well run with excellent drinks and food options. the premium plaza lounge is cheap and nasty. on time boarding on a near empty flight (too early in the season for the return traffic to have built up). the cabin was a third full. juice and water offered. no prosecco in premium economy though the crew member couldn't explain why it's not offered to london, but why champagne in biz is manageable. on time departure, and a fast drinks service. this is my first experience of gatwick crew. fast, sociable, less formal and streets ahead of mixed fleet crew serving heathrow. (and all over 25!) the meal was vile - overcooked, salty and dry. as the plane was empty, i went back to economy and had three hours sleep across three seats. awful breakfast of pretzel roll and cream cheese was served before landing. ife on both legs was dated and still the same selection since my flights at christmas! an early arrival and fast bags finished off a ok flight. returning, i liked the biz / first class check in area at lgw - fast and friendly. the lounge at gatwick was streets ahead of heathrow. self serve champagne and loads of seats. kept very clean and plenty of food. an upgrade to biz was nice on a full flight. efficient boarding and a fast coat / drink and menu service. a really fast bar service only 20 mins in, with well cooked food made the service just like the old days of long haul cabin crew from heathrow. the only thing that spoilt it was off duty ba staff in biz, chatting (and distracting) the crew on duty while drinking in the aisle and generally being loud and annoying. an early arrival into toronto finished a near perfect flight, the gatwick 777s are old - very old with no power in premium economy. (currently going through a refurb progamme), but with efficient and friendly crew and on time / early performance - there was little to dislike, and i even liked gatwick!!",2018-06-09,June,2018,8.0
1363,"""very good service indeed""","first time flying with british airways in economy on a transatlantic flight from london to chicago. i was impressed by the hard work of the professional and friendly flight attendants. they walked up and down the plane helping people with various issues and offering good tasty meals, snacks and drinks of all kinds. i will definitely fly british overseas again given a chance. the economy seats on this old but well kept boeing 747-400 were very comfortable and i am a 5'9"" x 240lbs and still did not feel cramped. i would encourage all my friends to fly british if they want to have a very comfortable flight from the us to europe. thank you british airways, very good service indeed.",2018-06-08,June,2018,10.0
1364,"""flights to Vancouver abysmal""","geneva to vancouver via london. worst experience. terrible service and when we wrote with constructive criticism, they offered £25 voucher and no apology - an insult as did not ask for compensation. it's an expensive price to pay for a low cost airline. on a positive point the geneva to london flights were fine but the 2 long haul flights to vancouver were abysmal.",2018-06-08,June,2018,3.0
1365,"""very pleasantly surprised""",this is the first time i have flown ba's club europe flying from london heathrow to corfu. i was not expecting a great deal having read a lot of less than positive reviews online however i was very pleasantly surprised. shortly after boarding we were offered a welcome drink with a bag of nuts and a choice of magazine to read. not long after this there was a full drinks service followed but a 4 course meal which was very tasty. i had cured salon followed by chicken breast then ginger cheesecake and a small cheese plate. we were then offered a choice of hot drinks and a top up of champagne. the crew were very attentive and helpful. they had a smile on their face all the time and the flight seemed to zip past. the seats were the usual economy seats with the middle blanked by a tray but for a relatively short trip it was fine. this flight was an upgrade using avios and i would happily do it again. i paid around 6500 avios and an extra £13 in taxes which i think was very good value for what i had.,2018-06-07,June,2018,8.0
1366,"""budget airlines can do better""","our original flight was cancelled as my wife and i were just disembarking from a cruise ship. we were then advised shortly after by sms that we had been automatically re-booked on a flight the next day, to london heathrow. this was not a lot of good when our car was parked at gatwick. i managed to get through to ba and was given a new booking to gatwick also the following day. we were offered no other assistance by the airline. the following day we turned up at the airport to find the new flight was running 40 minutes late. having eventually boarded the aircraft, we stayed at the gate for about 45 minutes before the captain deigned to tell us that the delay was being caused by problems at barcelona airport. shortly thereafter the captain advised us that we might wait for another two hours, so we would be given water. this was quickly superseded by a further announcement that a slot had become available at short notice, so no water was served. the real horror of this flight, however, was british airways new food service, whereby passengers buy food and pay by card/avios. this simply does not work. after one hour in the air, the trolley had moved about nine rows from the front of the cabin. eventually a flight attendant attempted to work from the back forward by running backwards and forwards from the trolley. about 20 minutes from touchdown he reached us and we asked for two cans of drink and a packet of crisps (potato chips). he returned to tell us he had no crisps and only one can, which we duly shared between us. having been on the aircraft for three and a half hours, this was the only refreshment we could obtain. i consider this to be completely unacceptable. if this is the level of service we can now expect from british airways, there is no point traveling with them. the budget airlines can do better at lower cost.",2018-06-06,June,2018,3.0
1367,"""little value for money""","hong kong to london. this was my first business class trip on ba, as i mostly use emirates or cathay pacific. in comparison, ba offers a very low standard. the flight attendant who served the section where i was seated couldn't have cared less. no greetings when passengers boarded the plane, no offer of help. he asked for my drink order but never delivered the drink. no second drink was offered. the toilet hadn't been cleaned properly before boarding, and during the flight, one of the two washrooms became unusable, resulting in long queues. the seating arrangement - having to face a stranger who sits in the opposite direction- is uncomfortable. overall, appalling quality and little value for money.",2018-06-05,June,2018,2.0
1368,"""above-and-beyond service""","washington to bucharest return via london. i was originally booked in world traveller plus but at dulles check-in was offered a club world upgrade at just $499 more which i accepted - resulting flight was very comfortable with good food and top-drawer service. the two london-bucharest sectors both went well. but all this was just a prelude to my return trip. while in bucharest i sustained a fall and although i wasn't seriously hurt it was still difficult to walk long distances especially with heavy luggage. at the bucharest airport bag drop the agent noticed my situation and offered assistance, which i accepted - and was promptly wheeled through security, passport control and the (very long) corridors to the gate, then put aboard the plane. on arrival in london i was met by more assistance to whisk me through the vastness of t5 and onto the plane, this time with the pleasant surprise of another club world upgrade (this time for free). once on the plane back to washington the cabin crew couldn't do enough for me, checking how i was doing, going through meal choices (the menu this time round was a bit heavy on cheese and other dairy items i really can't eat but ultimately i still ate well), getting me drinks, and more. they were as professional and proactive a crew as i've ever experienced in 40 years of long-haul travel. finally, once arrived at dulles more assistance was waiting, right up to getting my cab. what could have been an ordeal on this return trip was turned into as relaxing and satisfying a travel experience as can be imagined - through the years i've had mostly excellent experiences with ba cabin crews and that's a big reason why i've stayed with ba all these years and will continue to do so. but a big standing ovation for the cabin and ground crews for these flights for above-and-beyond service - you're the best.",2018-06-05,June,2018,10.0
1369,"""expensive low cost airline""","london to warsaw. ba european service is becoming like an expensive low cost airline. the price of seat selection still remains high. the seat on the outbound flight is not even reclining and it was a 2-hour flight.  you can always feel the elbows of the passengers next to you whenever someone is moving. i didn't buy any food or drink onboard, although i reckon it's not badly priced. the inbound flight was on an older a320, in which the seat was reclining.",2018-06-03,June,2018,3.0
1370,"""nearly three hours late""","london to istanbul. due to poor weather conditions at lhr, the flight was initially delayed by 2 hours which is quite understandable. when the passengers were informed of the gate, everyone gathered at the 'a' gate in t5. then, no announcement and the ground staff were in a world of their own. next, there is a screen notice that the flight will depart from a c gate. everyone rushes to the one of the last of the 'c' gates. once on board, the dreaded announcement that the flight will be delayed by another hour. the flight finally takes off nearly three hours late. after a while, the crew comes with the m&s gibberish but passengers are so hungry that by the time the crew serve the fifth row in economy the sandwiches are all over and i had packet of crisps and a diet coke for dinner. the flight arrived in istanbul three hours late and to add insult to injury, the aircraft stops at a remote gate and we have to trek to the terminal.",2018-06-02,June,2018,1.0
1371,"""a hit-or-miss affair""","london to cape town. flying first class with british airways is a hit-or-miss affair. but having secured a couple of return flights to cape town with avios, our expectations were running high as we entrusted our car to the meet and greet parking. unfortunately, terminal 3 isn't the best starting point and galleries first lacks glamour - or decent champagnes. the food on offer is adequate, although hardly first class. hoping for better on board, we didn't use the sit down menu. boarding was on time and according to ba's new group allocation. our seats - 2k and 3k - were a first for us, as we've previously gone for pairs in the centre. but seats a and k are definitely superior, with more storage space and better privacy. however, there's no escaping the fact that the relatively recent first class refit is in a relatively ancient plane, particularly when one inspects the shabby state of fittings in the toilets and galley. the ife is also showing its age and badly in need of an upgrade. but at least it didn't require rebooting on our flight. cabin crew in first were the usual mixed bag. the fa looking after our side seemed to be in the wrong job. food was better than usual, although a malfunctioning oven meant that we had to wait 30 minutes for our hot breakfast. landing was ahead of schedule and we were through immigration and baggage reclaim within 15 minutes. overall, a decent flight but let down by the attitude of the cabin crew and the age of the plane.",2018-06-02,June,2018,6.0
1372,"""Avios program is nearly worthless""","london to hamburg. typically if i fly ba it is sfo or lax to lhr. this time i flew them from miami via tampa thru lhr to hamburg. using their avios points i secured a first class seat which of course is a scam because ba charges you fees and surcharges to use those points at $500 per direction. their miami operation appears to be a poor second class cousin to american as they use two of their ticketing and check in kiosks plus share the american premium class (not) lounge. all the american processed slices of cheese and bologna you can eat with free booze is not what i call a premium lounge. the ba gate in the dreadful e terminal is not even on the main floor but downstairs. people jammed up to the entry points for boarding which creates a mess of boarding people by sections. boarding was like a cattle call. ba flies one of its oldest b747 into miami and it showed even in first. the seats were of the older design and it appeared the carpet was recent but the cabin smelled of moldy carpet. the service and food was surprisingly good compared to their service out of california. the flight was late leaving and late arriving, and this miami flight does not dock in terminal 5. rather terminal 3 and requiring its passengers to take shuttle buses to the other terminals which is what i did for my connection to hamburg. in the end i decided i was done with ba because their service model for premium passengers has  hit rock bottom. their avios program is nearly worthless on any premium class booking or on its partner airlines. try using ba points on american or cathay or even alaska and you will find it impossible regardless how far in advance you try.",2018-06-02,June,2018,4.0
1373,"""unhelpful and unprofessional""","turin to london gatwick. rubbish check-in service, as bad as ryanair. i show the staff my mobile boarding pass, checked website that i have 2 x 32 kg bags checked allowance. one bag was over 23 kg (27/28), they refused to honour the 32 kg allowance and told me i will risk myself to miss the flight and not able to check in. they were so rude and unhelpful. boarding was with the same unhelpful and unprofessional staff with the very arrogant manner. flight was delayed without the checked-in agent saying anything, after all passengers board they start to tell people there will be an hour or so delay due to weather. at the very least the young crew serve passenger complimentary juice or water during the wait.",2018-06-02,June,2018,2.0
1374,"""There is not a hotline""","when i checked in the evening before for the 7am flight, it looked like only 40% of seats were occupied. 2 hrs before flight they cancelled it without rebooking or explanation. there is not a hotline to call.",2018-06-01,June,2018,1.0
1375,"""7 hours later no luggage""",ba’s reputation has been declining for years so i don’t use them. for various reasons i had to for a flight for madrid. i had hand luggage. they texted asking for the hand luggage to be checked in as the flight was busy. i did and they lost it. 7 hours later no luggage or idea where it is. no compensation - only after 12 hours and for a small amount. ridiculous airline which has managed to lose its prestige and good will. lagging significantly behind easyjet in all aspects.,2018-05-31,May,2018,1.0
1376,"""such a poor quality product""","los angeles to london heathrow. desperately poor service from british airways in club class. business class is utterly outdated, with the weird ""facing each-other configuration"", and narrow / uncomfortable seats. the food served was appalling. the cabin crew were inattentive at best, and appeared disinterested in providing genuine customer service. the problem with british airways now in first and business class, is what they are completely lacking: namely, any class or manners whatsoever. poor food, uncomfortable seats, terrible / small movie screens, no wifi and an overall budget airline experience. british airways even charge for seat selection too, which adds insult to injury. avoid this horrible airline if you can. the only redeeming feature of this  airline is the wonderful, quiet airbus a380. a shame ba ruin the aircraft with such a poor quality product and attitude.",2018-05-31,May,2018,1.0
1377,"""they understand my frustration""","london heathrow to mahon. booked 9 months ago flights for first family holiday for 2 years for 2 adults, 2 children and 1 infant in lap (almost £1k for all of us. pre-booked seats at the same time. i was rather surprised when i got an email two weeks out saying “about your flight to madrid on the 26th may” when i was flying direct heathrow to menorca. airline assured me everything was fine. further concern when self-service check-in opened 24 hours out, wife and daughters checked in fine, me and my son were referred to airport check-in (despite all being on the same booking). an urgent call to ba i was told 1) i was probably being moved to a bassinet position. when i pointed out this was utter nonsense she reneged and said 2) infants can’t check in online which i now understand is also incorrect. my concern was well placed. at ba t5 bag drop, check in agent looked flustered, a note in the booking prompted her to call various people and after about ten minutes she handed me a bunch of boarding passes. only after i checked them she sheepishly admitted that our pre-booked seats were gone, my son and i had no seats at all and were standby, and my wife and daughters were dotted all around the cabin (16 rows apart). ‘prebooked seating is not guaranteed you know!’ after kicking up a huge fuss (i believe they can’t legally sit children below a certain age away from parents?) the check-in manager offered me no explanation other than full flights, but promised me it would be sorted once they got round to closing my flight. fast forward to the gate – utter carnage including the check-in supervisor (who cant have been more than 22) in tears. when i eventually got seen i was finally given a seat number for me and my son, again many rows apart from the rest of my family. as this was my sons first ever flight, i was absolutely livid that we couldn’t sit anywhere near each other. added to that, my son is breastfed so how we are going to manage feeding, kids needing toilet etc. i put my foot down and was eventually given a single middle seat two rows again from my daughters who were by now sat together thank goodness. we boarded the flight pretty much last after all the furore & holding my son i get to my assigned seat and someone is in it. asking to see his boarding pass surprise surprise he is in the correct seat. cue ba staff running around and frantically checking boarding passes. such is the confidence that the cabin crew have in their own ground staff, i even heard one of them mutter ‘check boarding cards and flight numbers as someone around here is on the wrong flight’! fast forward another 5 mins and the plane is now pushing back with me standing in an aisle holding my son with not an empty seat on the plane with me saying to my wife that we’re going to have to get off here and my children in tears. much checking of ipads and a ba staff member is then found (there were quite a few on the flight apparently) and hurriedly moved to the jumpseat whilst an announcement from the flight deck is booming out for everyone to take their seats or delay the flight (what seat?). raised a formal complaint and was told that they 'understand my frustration' which is nice. separate complaint raised to caa about a pushing back with passengers including an infant with no seat. conclusion is families avoid at all costs.",2018-05-30,May,2018,2.0
1378,"""a lovely flight""","dubai to london heathrow. lovely flight and a great ba worldwide crew, which are the best in the ba fleet. very good seat with great extras that you would expect in 1st class. chose to sleep as it was a night flight, but had a delicious full breakfast in the morning. baggage allowance was superb with 3 x 32kg cases and 2 cabin bags. overall, a lovely flight, with a great airline, that has a great crew",2018-05-30,May,2018,10.0
1379,"""a la carte dining option""","london heathrow to singapore on 28 may 2018. in this review, i am reviewing the a la carte dining option on board for world traveller. world traveller passengers have the option to pre-order from a selection of 6 main courses up to 30 days in advance for selected long haul flights out of lhr with prices ranging from £15 to £18. i had the gourmet dining consisting of braised hertfordshire beef cheek which was succulent and delicious. if you do not want to risk not getting your meal of choice on a long haul ba flight and if this a la carte option is available on your route, i highly recommend you to go for it.",2018-05-30,May,2018,9.0
1380,"""did not keep us updated""","paris to newark, flight cancelled. this experience was one of the worst i’ve had. the engineers had no idea what was wrong with the engine, all air and water shut off for three hours. not to mention the boeing 757 looked ancient, for a 6 hour flight from paris i expected a little more. the flight attendants did not keep us updated. lastly after we got off the plane they had one  receptionist at the desk to deal with the 60+ people who needed to rebook flights and get hotels for the night. will never fly british airways again. delta forever.",2018-05-29,May,2018,1.0
1381,"""never fly with them again""","i flew ba from heraklion to gatwick. i bought exit row seats for me and 3 others to sit together with extra leg room. i paid around £150 for that in january. we got to the airport 2 hours before departure, queued to check in and was told that 2 of the seats were reallocated to someone else. i asked why. the ba rep said it was because the plane for the flight had changed. she then said we should have got there earlier. she wouldn't call ba customer service when i showed her the email acknowledging 2 of us were given row 7 bulkhead seats with less room than normal pitch. i was told to email ba and ask them to refund me the seat cost. the flight manager on the plane told me there was no change of plane. she apologised and said she'd take our case up with ba customer service. i also sent in a complaint. today is 17 days with no response and my money still not refunded. i'll never fly with them again.",2018-05-28,May,2018,1.0
1382,"""this experience was a disgrace""","outbound from lhr to washington on a refurbished 747 400 was in economy all in all wasn't a bad experience, modern looking cabin with excellent ife system, food and wine was good and cabin crew very attentive, was looking forward to the return trip as had upgraded to premium economy. return flight ba 292 was delayed by late arrival of inbound flight, but no worries could relax in the pe cabin, boarding the aircraft and turning left for the first time ever immediate disappointed, how old was the plane? the cabin was dull and those seats looked as though they had seen better days, a quick check and this particular 747 was delivered to 1998 and hadn't had the refurbishment treatment. leg room was a tad better than economy but seat controls not very efficient and as for the ife system that decided not to work, mind you the screen was so small and scratched i doubt i would have been able to watch anything. cabin crew offered a pre take off drink water or orange juice and a hot towel that had seen better days, it was the sort of thing that you clean your car with, after a few words from the captain we departed. the evening meal was some sort of chicken with rice with real cutlery and was ok, wine and g&t was acceptable, about 1 hour before landing breakfast was served or should i say offered some sort of filled roll. i declined and had a tea in a paper cup and nothing more offered. i should add that the cabin crew were very attentive and tried to make us feel a bit special, for having spent an extra £400 for the upgrade. ba this experience was a disgrace for a once proud airline, never again.",2018-05-27,May,2018,2.0
1383,"""IFE is a work of mystery""","singapore to london. this was the second part of my sydney to london trip and looked forward to it as it was on a ba a380. now this aircraft, in qantas colours, is one i am very familiar with having flown around 30 sectors over the last 12 months with qf. as mentioned in my review of ba16 (which was the first leg of this trip) it is the on board soft product that is the problem. the same comments for that review apply here. the ife is a work of mystery in terms of content. on qantas, american, cathay one gets a really good mix of old and new movies, great music choices. those who compile the content need to look at what they mean by award winning (godfather, gladiator, brave-heart, roman holiday etc) are all things we as passengers want to see. some smart edgy team in soho, london pulled the content together forgetting that not everyone is edgy and want to see cutting edge stuff. ife is one thing on long haul. the other is food and beverage. the food quality was just substandard and something i read about constantly. on qantas (say qf1 from singapore to london) one gets the evening meal service, followed by weiss ice cream, a lindt chocolate along the way, midnight snack of a pizza or sandwich and morning breakfast (fruit or eggs with usual muffin etc. at the rear of the main deck is a snack bar and in the galley will be found, chocolates, banana bread, cheese and biscuits. you would need to be really hungry to get through that lot but the point is that it is available and offered. ba need to get away from a meal service on take off and landing and nothing in between. the a380 is a flagship aircraft and on qantas it is treated as such. i am a qantas fanboy and spend a lot of time on their planes. put the smartest, best looking crew onto a flagship as that is what people will remember. the ba crew were of a certain vintage more suited to lawn bowls. one guy looked like steptoe (for those who remember) and was a miserable. flying on an a380 should be an experience and i enjoy all my trips on that aircraft. ba have managed to reduce it to a very large low cost aircraft moving people from one point to another. that is sad given the stature of ba. i came back on ba31 from london to hong kong and the same comments apply. hard product is fine (except for no snack bar) but the soft product is lacking severely.",2018-05-26,May,2018,4.0
1384,"""years have not been kind""","sydney to london via singapore. it has been a very long time since i was on a long haul with ba of more than 9 hours. last year had a relative sprint from london to jfk and before that in 2002. the years have not been kind to ba. probably a mixture of the decline of ba and the emergence of other airlines. nearly all my long haul is with qantas on its a380, occasionally emirates on its version and then once in a while with cathay pacific and american airlines. the problem is not the hard product. a b777 or the a380 in whatever colour and decor is ordered is the same air frame. the b777 from sydney to singapore was fine. nosier than the a380 but that is well known. very comfortable seats and at 8 hours a relative sprint for those who call sydney home. it is the soft product that is lacking. check in was fine and despite being in economy had an express pass through security (being a gold ff with qantas). boarding was orderly and an on time departure and arrival into singapore. now its just a lack of polish with the soft product. no menu given showing what was to be served (as with cathay, emirates and qantas). the cutlery was really cheap and i mean cheap. kfc offers a better grade of plastic. i know in these days of security that proper silverware is not possible but someone at ba needs to check out the plastic used on cathay and qantas). the food itself was very bland; a salad that had seen better days and penne with some sauce that was over salty. qantas have done away with salads and simply give you a main dish plus garlic bread and a dessert. it's just the quality that is lacking. drinks? i have a tradition, something silly, about starting a journey off with a jack daniels and coke. this is available on qantas but no sir, we don't serve that. a note about the fa's: they were great but one gets the feeling that they are chirpy to mask some of the shortcomings with the product they are asked to deliver. final word about this leg is the ife. a touchscreen but it was slow in response time and the selection was diabolically bad. award winning or classic films with not a noted film from the last 30 years. one or two interesting things and some new releases. come on ba, for may being on a plane for that length of time is a perfect opportunity to catch up on much loved classics. as for music: well i'm 53 but still like the pearl jams etc of the world. we are not all into brit pop and edgy music presenters. if ba is serious about the airline business then it needs to sharpen up the soft skills, the food and beverage and add a touch of pizzazz about the airline. it is a mix of ba going back and many others coming up and beyond the standards that ba set many years ago.",2018-05-25,May,2018,4.0
1385,British Airways customer review,"malaga to gatwick operated by titan airways. very full business class of 36 people. a sick flight attendant so just one female attendant handled alone. i wish to highly commend here, despite alone she managed perfectly.",2018-05-25,May,2018,10.0
1386,"""75 minutes to get boarding card""","flew barcelona to gatwick. this review is about the arrangement for check in rather than actual flight. ba allows you to check in online, but not to print out a boarding card. there was no machine to print a card, queue taking 75 minutes to get boarding card, and several people were too late for check in. there were 4 desks 2 for priority, 2 for general check in for all flights. only 1 desk served, once they were about to close check in",2018-05-23,May,2018,1.0
1387,"""generous hand luggage rules""","munich to london-heathrow with british airways. while british airways is more or less in the same price range as lufthansa, no complimentary food or drinks were served. crew was friendly. the departure was from terminal 1 in munich, which is by far not as nice as the newer terminal 2. and arrival at terminal 5 in heathrow which is not as nice/easy as the new star alliance queens terminal 2. no wifi, personal device entertainment or onboard monitors on my flight. seat reservation too expensive in my eyes. british airways has one big advantage though: the generous hand luggage rules.",2018-05-23,May,2018,7.0
1388,"""Cabin crew were efficient""","this was an early morning flight from heathrow to keflavik. the flight was not very full. shortly after take off, the cabin crew came around to sell m&s snacks and drinks reasonably priced. this was a typical intra-european flight on british airways where food and drinks are for sale. cabin crew were efficient. i had the exit row seat so leg room was more than adequate.",2018-05-18,May,2018,7.0
1389,"""very poor cabin service""","cape town to london. dated aircraft, very poor cabin service, semi inedible food and the inevitable entertainment system crash made for a very poor journey. the cabin crew clearly regarded us as an intrusion and i do not feel that i should be having to ask for a drink with my main meal, surely we should have been offered something as a matter of course. i used to be happy to pay more to fly ba, now i pay extra not to.",2018-05-17,May,2018,3.0
